phase,elapsed_ms,raw,voltage_mv
medium,13000,1311,6375
medium,13050,1317,6404
medium,13100,1315,6392
medium,13150,1315,6392
medium,13200,1315,6392
medium,13250,1311,6375
medium,13300,1317,6404
medium,13350,1311,6375
medium,13400,1311,6375
medium,13450,1311,6375
medium,13500,1312,6381
medium,13550,1315,6392
medium,13600,1315,6392
medium,13650,1312,6381
medium,13700,1312,6381
medium,13750,1315,6392
medium,13800,1315,6392
medium,13850,1311,6375
medium,13900,1315,6392
medium,13950,1311,6375
medium,14000,1311,6375
medium,14050,1315,6392
medium,14100,1315,6392
medium,14150,1311,6375
medium,14200,1311,6375
medium,14250,1310,6369
medium,14300,1311,6375
medium,14350,1315,6392
medium,14400,1309,6363
medium,14450,1314,6392
medium,14500,1307,6357
medium,14550,1307,6357
medium,14600,1240,6028
medium,14650,1311,6375
medium,14700,1311,6375
medium,14750,1308,6363
medium,14800,1311,6375
medium,14850,1315,6392
medium,14900,1309,6363
medium,14950,1315,6392
medium,15000,1307,6357
medium,15050,1315,6392
medium,15100,1317,6404
medium,15150,1315,6392
medium,15200,1315,6392
medium,15250,1312,6381
medium,15300,1312,6381
medium,15350,1317,6404
medium,15400,1311,6375
medium,15450,1311,6375
medium,15500,1311,6375
medium,15550,1316,6398
medium,15600,1312,6381
medium,15650,1315,6392
medium,15700,1315,6392
medium,15750,1315,6392
medium,15800,1316,6398
medium,15850,1316,6398
medium,15900,1316,6398
medium,15950,1315,6392
medium,16000,1316,6398
medium,16050,1312,6381
medium,16100,1308,6363
medium,16150,1310,6369
medium,16200,1312,6381
medium,16250,1311,6375
medium,16300,1312,6381
medium,16350,1309,6363
medium,16400,1311,6375
medium,16450,1309,6363
medium,16500,1311,6375
medium,16550,1314,6392
medium,16600,1308,6363
medium,16650,1311,6375
medium,16700,1311,6375
medium,16750,1309,6363
medium,16800,1316,6398
medium,16850,1310,6369
medium,16900,1312,6381
medium,16950,1309,6363
medium,17000,1309,6363
medium,17050,1311,6375
medium,17100,1311,6375
medium,17150,1311,6375
medium,17200,1315,6392
medium,17250,1311,6375
medium,17300,1315,6392
medium,17350,1315,6392
medium,17400,1311,6375
medium,17450,1317,6404
medium,17500,1312,6381
medium,17550,1312,6381
medium,17600,1315,6392
medium,17650,1311,6375
medium,17700,1317,6404
medium,17750,1311,6375
medium,17800,1316,6398
medium,17850,1311,6375
medium,17900,1315,6392
medium,17950,1312,6381
medium,18000,1316,6398
medium,18050,1315,6392
medium,18100,1309,6363
medium,18150,1315,6392
medium,18200,1311,6375
medium,18250,1311,6375
medium,18300,1311,6375
medium,18350,1310,6369
medium,18400,1312,6381
medium,18450,1309,6363
medium,18500,1312,6381
medium,18550,1309,6363
medium,18600,1310,6369
medium,18650,1311,6375
medium,18700,1311,6375
medium,18750,1316,6398
medium,18800,1237,6016
medium,18850,1309,6363
medium,18900,1267,6163
medium,18950,1315,6392
medium,19000,1312,6381
medium,19050,1309,6363
medium,19100,1311,6375
medium,19150,1315,6392
medium,19200,1315,6392
medium,19250,1311,6375
medium,19300,1311,6375
medium,19350,1315,6392
medium,19400,1311,6375
medium,19450,1315,6392
medium,19500,1311,6375
medium,19550,1315,6392
medium,19600,1311,6375
medium,19650,1311,6375
medium,19700,1312,6381
medium,19750,1311,6375
medium,19800,1315,6392
medium,19850,1315,6392
medium,19900,1315,6392
medium,19950,1317,6404
medium,20000,1315,6392
medium,20050,1311,6375
medium,20100,1316,6398
medium,20150,1309,6363
medium,20200,1307,6357
medium,20250,1317,6404
medium,20300,1309,6363
medium,20350,1317,6404
medium,20400,1308,6363
medium,20450,1311,6375
medium,20500,1311,6375
medium,20550,1309,6363
medium,20600,1312,6381
medium,20650,1309,6363
medium,20700,1311,6375
medium,20750,1311,6375
medium,20800,1307,6357
medium,20850,1315,6392
medium,20900,1306,6351
medium,20950,1309,6363
medium,21000,1308,6363
medium,21050,1241,6034
medium,21100,1310,6369
medium,21150,1311,6375
medium,21200,1317,6404
medium,21250,1310,6369
medium,21300,1315,6392
medium,21350,1316,6398
medium,21400,1315,6392
medium,21450,1317,6404
medium,21500,1312,6381
medium,21550,1311,6375
medium,21600,1315,6392
medium,21650,1312,6381
medium,21700,1315,6392
medium,21750,1316,6398
medium,21800,1312,6381
medium,21850,1315,6392
medium,21900,1317,6404
medium,21950,1315,6392
medium,22000,1315,6392
medium,22050,1311,6375
medium,22100,1311,6375
medium,22150,1308,6363
medium,22200,1315,6392
medium,22250,1311,6375
medium,22300,1312,6381
medium,22350,1309,6363
medium,22400,1308,6363
medium,22450,1311,6375
medium,22500,1311,6375
medium,22550,1311,6375
medium,22600,1311,6375
medium,22650,1309,6363
medium,22700,1315,6392
medium,22750,1315,6392
medium,22800,1310,6369
medium,22850,1307,6357
medium,22900,1307,6357
medium,22950,1311,6375
medium,23000,1311,6375
medium,23050,1308,6363
medium,23100,1237,6016
medium,23150,1312,6381
medium,23200,1311,6375
medium,23250,1312,6381
medium,23300,1315,6392
medium,23350,1315,6392
medium,23400,1310,6369
medium,23450,1315,6392
medium,23500,1311,6375
medium,23550,1317,6404
medium,23600,1311,6375
medium,23650,1311,6375
medium,23700,1317,6404
medium,23750,1315,6392
medium,23800,1317,6404
medium,23850,1312,6381
medium,23900,1315,6392
medium,23950,1315,6392
medium,24000,1316,6398
medium,24050,1317,6404
medium,24100,1311,6375
medium,24150,1315,6392
medium,24200,1309,6363
medium,24250,1309,6363
medium,24300,1315,6392
medium,24350,1315,6392
medium,24400,1310,6369
medium,24450,1309,6363
medium,24500,1309,6363
medium,24550,1315,6392
medium,24600,1311,6375
medium,24650,1315,6392
medium,24700,1311,6375
medium,24750,1311,6375
medium,24800,1315,6392
medium,24850,1309,6363
medium,24900,1315,6392
medium,24950,1309,6363
medium,25000,1311,6375
medium,25050,1312,6381
medium,25100,1311,6375
medium,25150,1315,6392
medium,25200,1317,6404
medium,25250,1239,6022
medium,25300,1317,6404
medium,25350,1314,6392
medium,25400,1311,6375
medium,25450,1310,6369
medium,25500,1310,6369
medium,25550,1311,6375
medium,25600,1315,6392
medium,25650,1315,6392
medium,25700,1316,6398
medium,25750,1315,6392
medium,25800,1316,6398
medium,25850,1311,6375
medium,25900,1315,6392
medium,25950,1312,6381
medium,26000,1311,6375
medium,26050,1311,6375
medium,26100,1311,6375
medium,26150,1316,6398
medium,26200,1309,6363
medium,26250,1312,6381
medium,26300,1310,6369
medium,26350,1310,6369
